#{"t_start": 1659795989.7824132, "env_id": null}
r,l,t
27300,7512,46.867009
23000,8036,89.583801
43200,13091,169.634864
61600,11954,246.132393
59300,16432,348.984703
55700,11054,426.135294
4500,5047,450.323625
56900,14637,544.189689
3600,4867,567.21564
17500,8133,622.062475
4000,4702,646.884793
48400,6271,684.760134
33900,8391,743.620221
5600,5010,778.431124
75300,10502,841.996192
63000,11070,903.910652
47900,7308,953.471255
4400,5835,978.829938
4400,5765,1014.765906
5600,4380,1046.107144
26700,10527,1105.574748
47900,11309,1167.871075
4900,5950,1202.577315
